ID,Name,numero,dni,departamento,region,codigo,hora,semana,imagen
51978304185_1,Keith Edwards,51978304185,49075292,lima,LIMA,MM9XMM9E99,2024-08-26T21:21:19.000000Z,13,http://34.125.11.181:8000/images/51988583623_5.jpg
51906442781_1,Michael Garcia,51906442781,46362969,lima,LIMA,3M2HZMU4DJ,2024-07-05T01:43:37.000000Z,5,http://34.125.11.181:8000/images/51988583623_5.jpg
51999748901_1,Andrew Kramer,51999748901,14954631,lima,LIMA,NQ7YFWGY58,2024-06-19T21:30:08.000000Z,3,http://34.125.11.181:8000/images/51988583623_5.jpg
51967483045_1,Craig Pearson,51967483045,32708066,arequipa,SUR,1P3R6BTXKX,2024-08-05T06:59:19.000000Z,10,http://34.125.11.181:8000/images/51988583623_5.jpg
51913730570_1,Stephanie Arnold,51913730570,61462921,lima,LIMA,9VA32K7TRV,2024-06-30T13:05:44.000000Z,4,http://34.125.11.181:8000/images/51988583623_5.jpg
51963949259_1,Stephanie Williams,51963949259,82596332,tacna,SUR,HV7DVWWSSS,2024-07-29T13:50:43.000000Z,9,http://34.125.11.181:8000/images/51988583623_5.jpg
51948437885_1,Michele Howard,51948437885,16227027,cuzco,SUR,187YFNKZ78,2024-06-24T20:27:12.000000Z,4,http://34.125.11.181:8000/images/51988583623_5.jpg
51984605547_1,Bobby Williams,51984605547,60399673,lima,LIMA,SV3K8HRNVT,2024-07-09T00:37:04.000000Z,6,http://34.125.11.181:8000/images/51988583623_5.jpg
51926774866_1,Matthew Young,51926774866,99652361,lima,LIMA,M4X74HF8PJ,2024-06-17T16:37:05.000000Z,3,http://34.125.11.181:8000/images/51988583623_5.jpg
51973314141_1,Michael Pierce,51973314141,32328803,cajamarca,NORTE,3V1TEZEZSP,2024-07-03T23:38:54.000000Z,5,http://34.125.11.181:8000/images/51988583623_5.jpg
51991165984_1,Katherine Rollins,51991165984,97697745,lima,LIMA,HYQ5AHN5RN,2024-06-27T14:04:58.000000Z,4,http://34.125.11.181:8000/images/51988583623_5.jpg
51905935960_1,Jonathan Davidson,51905935960,94657038,loreto,ORIENTE,8JS334B7YP,2024-06-30T04:19:55.000000Z,4,http://34.125.11.181:8000/images/51988583623_5.jpg
51946827791_1,Jermaine Dean,51946827791,19984414,arequipa,SUR,UXVVHGN118,2024-06-16T18:41:05.000000Z,2,http://34.125.11.181:8000/images/51988583623_5.jpg
